idpessoa,cidade,uf,risk_score,confidence,abc,recommended_product,pitch
0100C68PAC,"Votorantim",SP,20.77,71.00,B,01003UFF0T,"Produto já comprado por você anteriormente."
0100D3MC1L,"Votorantim",SP,19.89,68.00,A,01000L5K4V,"Comprado frequentemente por clientes com perfil similar ao seu."
0100CQP3NV,"Votorantim",SP,19.39,72.50,A,01000N2W4T,"Comprado frequentemente por clientes com perfil similar ao seu."
0100CE6TEZ,"Votorantim",SP,19.26,90.00,B,01000N9B1M,"Comprado frequentemente por clientes com perfil similar ao seu."
010001TN1G,"Votorantim",SP,17.47,72.50,A,01000KICDY,"Comprado frequentemente por clientes com perfil similar ao seu."
0100DWDH45,"Votorantim",SP,16.22,90.00,A,01000N2W4T,"Comprado frequentemente por clientes com perfil similar ao seu."
010002E903,"Votorantim",SP,12.33,68.00,B,01000N2W4T,"Comprado frequentemente por clientes com perfil similar ao seu."
0100B0WLSP,"Votorantim",SP,12.28,74.00,A,01000L9I47,"Comprado frequentemente por clientes com perfil similar ao seu."
0100062UES,"Votorantim",SP,12.03,66.50,C,01003UFKEG,"Comprado frequentemente por clientes com perfil similar ao seu."
0100DELA68,"Votorantim",SP,6.35,90.00,A,01000KJ0V5,"Comprado frequentemente por clientes com perfil similar ao seu."
0100FRPP0Y,"Votorantim",SP,5.50,90.00,C,01000LD568,"Comprado frequentemente por clientes com perfil similar ao seu."
0100BFVNEL,"Votorantim",SP,4.48,90.00,A,01003UFKEG,"Você compra este produto com frequência."
0100021AD8,"Votorantim",SP,0.91,80.00,A,01000MMP5R,"Comprado frequentemente por clientes com perfil similar ao seu."
